,true_n,n,posterior
508,29,17,0.0
509,30,17,0.0
510,1,18,8.566935e-20
511,2,18,1.6861436e-21
512,3,18,1.73627e-17
513,4,18,1.1991636e-16
514,5,18,4.736156e-16
515,6,18,9.629607e-17
516,7,18,1.2490063e-21
517,8,18,4.0014968e-29
518,9,18,7.720351e-19
519,10,18,2.8637236e-12
520,11,18,2.8842675e-07
521,12,18,7.2858456e-06
522,13,18,3.9110637e-06
523,14,18,2.0282876e-05
524,15,18,0.00097626634
525,16,18,0.076149
526,17,18,0.28599724
527,18,18,0.36031583
528,19,18,0.23838249
529,20,18,0.07387182
530,21,18,0.003881237
531,22,18,1.535472e-21
532,23,18,3.2788344e-26
533,24,18,0.0
534,25,18,0.0
535,26,18,0.0
536,27,18,0.0
537,28,18,0.0
538,29,18,0.0
539,30,18,0.0
540,1,19,7.8686364e-20
541,2,19,1.1878748e-21
542,3,19,1.4323416e-17
543,4,19,1.4268666e-14
544,5,19,4.513347e-16
545,6,19,3.7870555e-16
546,7,19,1.369068e-19
547,8,19,9.741151e-27
548,9,19,8.965455e-23
549,10,19,2.3881948e-14
550,11,19,2.373191e-08
551,12,19,6.94318e-07
552,13,19,9.64417e-10
553,14,19,1.3072196e-07
554,15,19,0.00016375704
555,16,19,0.013168352
556,17,19,0.14217924
557,18,19,0.26787108
558,19,19,0.27407533
559,20,19,0.25207472
560,21,19,0.09490143
561,22,19,0.00019372453
562,23,19,0.00048219334
563,24,19,9.447477e-17
564,25,19,0.0
565,26,19,0.0
566,27,19,0.0
567,28,19,0.0
568,29,19,0.0
569,30,19,0.0
570,1,20,6.9293915e-20
571,2,20,1.135259e-21
572,3,20,1.1802729e-17
573,4,20,1.1780902e-17
574,5,20,8.961513e-16
575,6,20,1.0366217e-15
576,7,20,3.7457567e-18
577,8,20,9.984412e-25
578,9,20,1.5881848e-28
579,10,20,9.933317e-18
580,11,20,3.7693487e-10
581,12,20,2.0609264e-08
582,13,20,9.1869606e-07
583,14,20,1.3033542e-06
584,15,20,0.00013308554
585,16,20,0.0022351074
586,17,20,0.04520882
587,18,20,0.14402533
588,19,20,0.17779718
589,20,20,0.23996547
590,21,20,0.29261175
591,22,20,0.077920236
592,23,20,0.056822162
593,24,20,3.803869e-05
594,25,20,3.512628e-11
595,26,20,3.762646e-22
596,27,20,0.0
597,28,20,0.0
598,29,20,0.0
599,30,20,0.0
600,1,21,6.331525e-20
601,2,21,9.577149e-22
602,3,21,9.858109e-18
603,4,21,1.5660876e-16
604,5,21,1.2529411e-15
605,6,21,2.1355179e-15
606,7,21,5.2721802e-17
607,8,21,5.8869856e-23
608,9,21,9.144175e-26
609,10,21,3.3010822e-23
610,11,21,1.6889786e-12
611,12,21,1.9863802e-10
612,13,21,1.6856134e-09
613,14,21,9.5762076e-08
614,15,21,2.763799e-05
615,16,21,0.00022748187
616,17,21,0.00047205534
617,18,21,0.0490049
618,19,21,0.10892378
619,20,21,0.19100791
620,21,21,0.3244912
621,22,21,0.15388358
622,23,21,0.15454301
623,24,21,0.014885016
624,25,21,0.00020762044
625,26,21,6.255867e-05
626,27,21,4.3458517e-13
627,28,21,6.2714793e-28
628,29,21,0.0
629,30,21,0.0
630,1,22,5.9016584e-20
631,2,22,8.170106e-22
632,3,22,8.4022e-18
633,4,22,3.3981918e-15
634,5,22,5.565673e-16
635,6,22,3.5450154e-15
636,7,22,4.4620536e-16
637,8,22,2.5205288e-21
638,9,22,1.6873839e-23
639,10,22,1.8721184e-34
640,11,22,2.0073965e-15
641,12,22,6.1763957e-13
642,13,22,1.1758601e-09
643,14,22,6.7748567e-09
644,15,22,6.431362e-06
645,16,22,0.00027361725
646,17,22,0.00022182862
647,18,22,0.00043572258
648,19,22,0.046370015
649,20,22,0.15141392
650,21,22,0.16151613
651,22,22,0.21822429
652,23,22,0.22402771
653,24,22,0.16985935
654,25,22,0.021621319
655,26,22,0.022503268
656,27,22,0.00044214292
657,28,22,3.1829494e-08
658,29,22,0.0
659,30,22,0.0
660,1,23,5.4017188e-20
661,2,23,7.13321e-22
662,3,23,6.8100237e-18
663,4,23,1.7372812e-15
664,5,23,1.1785657e-15
665,6,23,5.0655357e-15
666,7,23,2.3971318e-15
667,8,23,6.0321384e-20
