,trace,fit,frames
708,22220.927734375,22251.352,708
709,22121.208984375,22251.352,709
710,22496.052734375,22251.352,710
711,22130.107421875,22251.352,711
712,22562.19921875,22251.352,712
713,22338.888671875,22251.352,713
714,22181.59765625,22251.352,714
715,22461.806640625,22251.352,715
716,23541.326171875,23460.148,716
717,23121.833984375,23460.148,717
718,23308.876953125,23460.148,718
719,23311.228515625,23460.148,719
720,24692.43359375,24668.943,720
721,24259.126953125,24668.943,721
722,24975.552734375,24668.943,722
723,27544.65234375,27086.535,723
724,27116.220703125,27086.535,724
725,27142.37890625,27086.535,725
726,25795.640625,25877.738,726
727,28385.5,28295.332,727
728,28719.609375,28295.332,728
729,29529.958984375,29504.127,729
730,30401.9921875,30712.924,730
731,30497.048828125,30712.924,731
732,30519.1171875,30712.924,732
733,31050.357421875,30712.924,733
734,30425.669921875,30712.924,734
735,29185.419921875,29504.127,735
736,28351.697265625,28295.332,736
737,28401.0390625,28295.332,737
738,26106.77734375,25877.738,738
739,25826.9921875,25877.738,739
740,24831.703125,24668.943,740
741,23377.3515625,23460.148,741
742,22188.13671875,22251.352,742
743,22161.740234375,22251.352,743
744,21828.10546875,22251.352,744
745,21196.642578125,21042.555,745
746,19737.10546875,19833.758,746
747,20020.919921875,19833.758,747
748,20880.6953125,21042.555,748
749,22115.07421875,22251.352,749
750,22251.91796875,22251.352,750
751,20817.5703125,21042.555,751
752,20782.125,21042.555,752
753,20883.712890625,21042.555,753
754,22331.263671875,22251.352,754
755,22519.1875,22251.352,755
756,22355.74609375,22251.352,756
757,22396.630859375,22251.352,757
758,22364.470703125,22251.352,758
759,22648.673828125,22251.352,759
760,20992.18359375,21042.555,760
761,20956.22265625,21042.555,761
762,19730.0625,19833.758,762
763,19857.498046875,19833.758,763
764,19846.01171875,19833.758,764
765,19882.19921875,19833.758,765
766,21957.232421875,22251.352,766
767,22231.83984375,22251.352,767
768,22189.546875,22251.352,768
769,23325.0390625,23460.148,769
770,22104.701171875,22251.352,770
771,23670.3515625,23460.148,771
772,24387.677734375,24668.943,772
773,23142.109375,23460.148,773
774,24904.10546875,24668.943,774
775,23674.359375,23460.148,775
776,24906.123046875,24668.943,776
777,23208.697265625,23460.148,777
778,23680.392578125,23460.148,778
779,23323.16015625,23460.148,779
780,23253.201171875,23460.148,780
781,24504.140625,24668.943,781
782,25018.1953125,24668.943,782
783,24772.4921875,24668.943,783
784,24705.837890625,24668.943,784
785,24751.267578125,24668.943,785
786,23848.771484375,23460.148,786
787,23199.935546875,23460.148,787
788,22337.232421875,22251.352,788
789,22120.53515625,22251.352,789
790,22050.181640625,22251.352,790
791,22168.384765625,22251.352,791
792,23758.298828125,23460.148,792
793,21137.9921875,21042.555,793
794,22350.8359375,22251.352,794
795,22497.62890625,22251.352,795
796,21096.08984375,21042.555,796
797,20842.78125,21042.555,797
798,19701.205078125,19833.758,798
799,19571.2265625,19833.758,799
800,19519.34375,19833.758,800
801,20132.71875,19833.758,801
802,19843.06640625,19833.758,802
803,20064.30078125,19833.758,803
804,19681.69921875,19833.758,804
805,19631.494140625,19833.758,805
806,19654.146484375,19833.758,806
807,21341.73828125,21042.555,807
808,20953.0859375,21042.555,808
809,21329.1640625,21042.555,809
810,22221.56640625,22251.352,810
811,23354.271484375,23460.148,811
812,23583.486328125,23460.148,812
813,23674.51171875,23460.148,813
814,23526.263671875,23460.148,814
815,23579.634765625,23460.148,815
816,22299.826171875,22251.352,816
817,23383.556640625,23460.148,817
818,24732.76171875,24668.943,818
819,24585.751953125,24668.943,819
820,23931.123046875,23460.148,820
821,23279.8515625,23460.148,821
822,23424.400390625,23460.148,822
823,21079.453125,21042.555,823
824,22137.240234375,22251.352,824
825,22070.267578125,22251.352,825
826,20914.30078125,21042.555,826
827,21279.462890625,21042.555,827
828,21133.8671875,21042.555,828
829,22306.1484375,22251.352,829
830,23208.337890625,23460.148,830
831,23734.890625,23460.148,831
832,25980.744140625,25877.738,832
833,26038.2265625,25877.738,833
834,25448.31640625,25877.738,834
835,25808.365234375,25877.738,835
836,24317.283203125,24668.943,836
