,n_true,n_fit,posterior
636,7,22,0.0
637,8,22,0.0
638,9,22,3.1018e-41
639,10,22,2.474931e-33
640,11,22,5.7254984e-29
641,12,22,1.508294e-23
642,13,22,6.1046903e-16
643,14,22,4.1912095e-14
644,15,22,2.2986809e-08
645,16,22,1.7853266e-07
646,17,22,0.0008850785
647,18,22,0.0016298015
648,19,22,0.016381808
649,20,22,0.14380838
650,21,22,0.2797769
651,22,22,0.30032903
652,23,22,0.29633507
653,24,22,0.19444077
654,25,22,0.016450416
655,26,22,0.0049209613
656,27,22,0.02089494
657,28,22,8.990107e-06
658,29,22,6.1155596e-08
659,30,22,1.9991429e-11
660,1,23,0.0
661,2,23,0.0
662,3,23,0.0
663,4,23,0.0
664,5,23,0.0
665,6,23,0.0
666,7,23,0.0
667,8,23,0.0
668,9,23,0.0
669,10,23,7.8473224e-38
670,11,23,3.4031744e-33
671,12,23,2.0124845e-27
672,13,23,3.076998e-19
673,14,23,3.093973e-17
674,15,23,1.4429752e-10
675,16,23,3.2174878e-09
676,17,23,4.3713135e-05
677,18,23,0.00016225118
678,19,23,0.0015647834
679,20,23,0.035324246
680,21,23,0.10431366
681,22,23,0.24340534
682,23,23,0.31929743
683,24,23,0.31750268
684,25,23,0.08657543
685,26,23,0.043643415
686,27,23,0.046586197
687,28,23,0.00014492273
688,29,23,1.9833302e-05
689,30,23,9.856338e-09
690,1,24,0.0
691,2,24,0.0
692,3,24,0.0
693,4,24,0.0
694,5,24,0.0
695,6,24,0.0
696,7,24,0.0
697,8,24,0.0
698,9,24,0.0
699,10,24,1.944e-42
700,11,24,1.2241589e-37
701,12,24,1.8438281e-31
702,13,24,1.9992511e-22
703,14,24,3.2901758e-20
704,15,24,4.648557e-13
705,16,24,1.6444644e-11
706,17,24,1.7864419e-06
707,18,24,5.0295575e-06
708,19,24,2.6110622e-05
709,20,24,0.003189601
710,21,24,0.0045183087
711,22,24,0.13792852
712,23,24,0.20291522
713,24,24,0.31346413
714,25,24,0.2070396
715,26,24,0.15918948
716,27,24,0.076917954
717,28,24,0.0050462913
718,29,24,0.00023724775
719,30,24,4.7092042e-05
720,1,25,0.0
721,2,25,0.0
722,3,25,0.0
723,4,25,0.0
724,5,25,0.0
725,6,25,0.0
726,7,25,0.0
727,8,25,0.0
728,9,25,0.0
729,10,25,0.0
730,11,25,3.694e-42
731,12,25,1.1437711e-35
732,13,25,5.9872e-26
733,14,25,1.4360681e-23
734,15,25,9.440688e-16
735,16,25,5.090553e-14
736,17,25,3.2183546e-08
737,18,25,3.212142e-08
738,19,25,1.6763992e-06
739,20,25,0.00021982263
740,21,25,0.0025691953
741,22,25,0.017781239
742,23,25,0.06812793
743,24,25,0.07260101
744,25,25,0.2729519
745,26,25,0.3106867
746,27,25,0.1439733
747,28,25,0.029837102
