,N4_trace_good,N4_fit_good,N4_trace_bad,N4_fit_bad,frames
363,9308,9433.476,7180,7275.607,363
364,9527,9433.476,7277,7275.607,364
365,9459,9433.476,7329,7275.607,365
366,9653,9433.476,7323,7275.607,366
367,9401,9433.476,7487,7275.607,367
368,9388,9433.476,7420,7275.607,368
369,9758,9433.476,7392,7275.607,369
370,9709,9433.476,7398,7275.607,370
371,9569,9433.476,7447,7275.607,371
372,9363,9433.476,7351,7275.607,372
373,9530,9433.476,7461,7275.607,373
374,9142,9433.476,7328,7275.607,374
375,10483,10660.584,7099,7275.607,375
376,10849,10660.584,6753,6807.3857,376
377,11428,11887.693,6818,6807.3857,377
378,12148,11887.693,6752,6807.3857,378
379,12339,11887.693,6871,6807.3857,379
380,11631,11887.693,6975,6807.3857,380
381,10861,10660.584,6823,6807.3857,381
382,10787,10660.584,7027,6807.3857,382
383,10523,10660.584,6855,6807.3857,383
384,10702,10660.584,6871,6807.3857,384
385,10716,10660.584,6885,6807.3857,385
386,10787,10660.584,6828,6807.3857,386
387,10422,10660.584,6888,6807.3857,387
388,10897,10660.584,7220,7275.607,388
389,11029,10660.584,7477,7275.607,389
390,10699,10660.584,7336,7275.607,390
391,10712,10660.584,7360,7275.607,391
392,9742,9433.476,7370,7275.607,392
393,9590,9433.476,7480,7275.607,393
394,10049,9433.476,7412,7275.607,394
395,10971,9433.476,7318,7275.607,395
396,9669,9433.476,7269,7275.607,396
397,8231,8206.367,7400,7275.607,397
398,8388,8206.367,7528,7275.607,398
399,8083,8206.367,7279,7275.607,399
400,8069,8206.367,7227,7275.607,400
401,8332,8206.367,7352,7275.607,401
402,8143,8206.367,7323,7275.607,402
403,8028,8206.367,7149,7275.607,403
404,9152,9433.476,7338,7275.607,404
405,9417,9433.476,7323,7275.607,405
406,9352,9433.476,7407,7275.607,406
407,9350,9433.476,7399,7275.607,407
408,9532,9433.476,7505,7275.607,408
409,8078,8206.367,7419,7275.607,409
410,8179,8206.367,7427,7275.607,410
411,8048,8206.367,7465,7275.607,411
412,8372,8206.367,7370,7275.607,412
413,8278,8206.367,7365,7275.607,413
414,8356,8206.367,7381,7275.607,414
415,8193,8206.367,7086,7275.607,415
416,8258,8206.367,6864,6807.3857,416
417,8085,8206.367,6842,6807.3857,417
418,8105,8206.367,6743,6807.3857,418
419,8097,8206.367,7018,6807.3857,419
420,7985,8206.367,6777,6807.3857,420
421,7058,6979.259,6861,6807.3857,421
422,6903,6979.259,6844,6807.3857,422
423,6744,6979.259,6858,6807.3857,423
424,7639,6979.259,6926,6807.3857,424
425,6854,6979.259,6753,6807.3857,425
426,6955,6979.259,6817,6807.3857,426
427,7047,6979.259,6854,6807.3857,427
428,7006,6979.259,6992,6807.3857,428
429,6938,6979.259,6919,6807.3857,429
430,7060,6979.259,6886,6807.3857,430
431,6895,6979.259,6834,6807.3857,431
432,7096,6979.259,6873,6807.3857,432
433,6996,6979.259,6987,6807.3857,433
434,6989,6979.259,6891,6807.3857,434
435,7597,6979.259,6823,6807.3857,435
436,8275,6979.259,6914,6807.3857,436
437,7179,6979.259,6723,6807.3857,437
438,7069,6979.259,6963,6807.3857,438
439,6925,6979.259,6979,6807.3857,439
440,7159,6979.259,7463,7275.607,440
441,7120,6979.259,7408,7275.607,441
442,6976,6979.259,7285,7275.607,442
443,7150,6979.259,7391,7275.607,443
444,6999,6979.259,7461,7275.607,444
445,7295,6979.259,6980,6807.3857,445
446,8358,8206.367,6928,6807.3857,446
447,8342,8206.367,6907,6807.3857,447
448,8188,8206.367,6785,6807.3857,448
449,8295,8206.367,7126,7275.607,449
450,8108,8206.367,7486,7275.607,450
451,8186,8206.367,7081,7275.607,451
452,8698,8206.367,6942,6807.3857,452
453,9298,8206.367,6945,6807.3857,453
454,9042,8206.367,6929,6807.3857,454
455,9011,8206.367,7400,7275.607,455
456,9014,8206.367,7531,7275.607,456
457,8809,8206.367,7501,7275.607,457
458,8211,8206.367,7334,7275.607,458
459,8333,8206.367,7335,7275.607,459
460,8392,8206.367,7444,7275.607,460
461,8497,8206.367,7326,7275.607,461
462,8209,8206.367,7045,7275.607,462
463,8282,8206.367,6807,6807.3857,463
464,8241,8206.367,6810,6807.3857,464
465,8303,8206.367,7202,7275.607,465
466,9167,8206.367,7444,7275.607,466
467,9769,8206.367,7560,7275.607,467
468,8356,8206.367,7272,7275.607,468
469,8423,8206.367,7290,7275.607,469
470,8163,8206.367,7360,7275.607,470
471,8281,8206.367,7163,7275.607,471
472,8366,8206.367,7363,7275.607,472
473,8178,8206.367,7426,7275.607,473
474,8261,8206.367,7281,7275.607,474
475,8244,8206.367,7213,7275.607,475
476,8167,8206.367,7197,7275.607,476
477,8128,8206.367,7158,7275.607,477
478,8730,8206.367,7338,7275.607,478
479,9312,9433.476,7200,7275.607,479
480,9521,9433.476,7320,7275.607,480
481,9435,9433.476,7374,7275.607,481
482,9457,9433.476,7289,7275.607,482
483,9563,9433.476,7438,7275.607,483
484,9446,9433.476,7414,7275.607,484
485,9291,9433.476,7310,7275.607,485
486,9294,9433.476,7636,7275.607,486
487,9570,9433.476,7403,7275.607,487
488,9567,9433.476,7388,7275.607,488
489,9369,9433.476,7345,7275.607,489
490,9424,9433.476,7372,7275.607,490
491,9367,9433.476,7323,7275.607,491
492,8371,8206.367,7305,7275.607,492
493,8080,8206.367,7360,7275.607,493
494,8330,8206.367,7182,7275.607,494
495,8431,8206.367,7421,7275.607,495
496,8466,8206.367,6955,6807.3857,496
497,8223,8206.367,6958,6807.3857,497
498,8883,8206.367,6843,6807.3857,498
499,8587,8206.367,7007,6807.3857,499
500,8273,8206.367,7061,6807.3857,500
501,8422,8206.367,7014,6807.3857,501
502,8353,8206.367,6870,6807.3857,502
503,8293,8206.367,6877,6807.3857,503
504,8297,8206.367,6818,6807.3857,504
505,8171,8206.367,7034,6807.3857,505
506,8319,8206.367,6932,6807.3857,506
507,8480,8206.367,6992,6807.3857,507
508,8394,8206.367,6930,6807.3857,508
509,8302,8206.367,6917,6807.3857,509
510,8551,8206.367,6896,6807.3857,510
511,8250,8206.367,6749,6807.3857,511
512,8299,8206.367,6833,6807.3857,512
513,8375,8206.367,7015,6807.3857,513
514,7704,8206.367,7030,6807.3857,514
515,7266,8206.367,6987,6807.3857,515
516,8435,8206.367,6843,6807.3857,516
517,8331,8206.367,6934,6807.3857,517
518,8259,8206.367,6973,6807.3857,518
519,8328,8206.367,6890,6807.3857,519
520,8570,8206.367,6770,6807.3857,520
521,8319,8206.367,6984,6807.3857,521
522,8143,8206.367,6925,6807.3857,522
523,8108,8206.367,7052,6807.3857,523
524,8145,8206.367,6727,6807.3857,524
525,8173,8206.367,7066,6807.3857,525
526,8128,8206.367,6993,6807.3857,526
527,6693,6979.259,6823,6807.3857,527
528,6876,6979.259,6894,6807.3857,528
529,7041,6979.259,6721,6807.3857,529
530,7071,6979.259,6931,6807.3857,530
531,6961,6979.259,7028,6807.3857,531
532,7146,6979.259,6984,6807.3857,532
533,6965,6979.259,7027,6807.3857,533
534,7147,6979.259,6904,6807.3857,534
535,8259,8206.367,6895,6807.3857,535
536,8263,8206.367,6994,6807.3857,536
537,8968,8206.367,7176,7275.607,537
538,8129,8206.367,7058,7275.607,538
539,8613,8206.367,6850,6807.3857,539
540,8305,8206.367,6964,6807.3857,540
541,8307,8206.367,7089,7275.607,541
542,8384,8206.367,7207,7275.607,542
543,8274,8206.367,6900,6807.3857,543
544,8198,8206.367,6617,6807.3857,544
545,8133,8206.367,6342,6339.1646,545
546,8022,8206.367,6755,6807.3857,546
547,8292,8206.367,6955,6807.3857,547
548,8244,8206.367,6936,6807.3857,548
549,8147,8206.367,7300,7275.607,549
550,8953,8206.367,7262,7275.607,550
551,8185,8206.367,7329,7275.607,551
552,8331,8206.367,7523,7275.607,552
553,8429,8206.367,7362,7275.607,553
554,9388,9433.476,7383,7275.607,554
555,9516,9433.476,7264,7275.607,555
556,9443,9433.476,7289,7275.607,556
557,9484,9433.476,7292,7275.607,557
558,9476,9433.476,7343,7275.607,558
559,9580,9433.476,7383,7275.607,559
560,9574,9433.476,7380,7275.607,560
561,9533,9433.476,7407,7275.607,561
562,9382,9433.476,7261,7275.607,562
563,9457,9433.476,7475,7275.607,563
564,8612,9433.476,7529,7275.607,564
565,9211,9433.476,7382,7275.607,565
566,9918,9433.476,7460,7275.607,566
567,10118,9433.476,7400,7275.607,567
568,9897,9433.476,7302,7275.607,568
569,9555,9433.476,7550,7275.607,569
570,9241,9433.476,7453,7275.607,570
571,9462,9433.476,7435,7275.607,571
572,9588,9433.476,7616,7275.607,572
573,9599,9433.476,7322,7275.607,573
574,9524,9433.476,7408,7275.607,574
575,9368,9433.476,7435,7275.607,575
576,9421,9433.476,7346,7275.607,576
577,10614,10660.584,7410,7275.607,577
578,11214,10660.584,7360,7275.607,578
579,10539,10660.584,7375,7275.607,579
580,10613,10660.584,7343,7275.607,580
581,11899,10660.584,7479,7275.607,581
582,11256,10660.584,7539,7275.607,582
583,10703,10660.584,7432,7275.607,583
584,10768,10660.584,7357,7275.607,584
585,10748,10660.584,7472,7275.607,585
586,10841,10660.584,7428,7275.607,586
587,10389,10660.584,7502,7275.607,587
588,10597,10660.584,6842,6807.3857,588
589,10746,10660.584,6781,6807.3857,589
590,10757,10660.584,6939,6807.3857,590
591,10590,10660.584,6518,6339.1646,591
592,10720,10660.584,6392,6339.1646,592
593,10568,10660.584,6539,6339.1646,593
594,10922,10660.584,6986,6807.3857,594
595,10792,10660.584,6858,6807.3857,595
596,10774,10660.584,7034,6807.3857,596
597,10557,10660.584,6964,6807.3857,597
598,10673,10660.584,6927,6807.3857,598
599,10938,10660.584,6838,6807.3857,599
600,10752,10660.584,6968,6807.3857,600
